label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
621,483,0.298479,0.0763294,,18.4347,9.68832,9.1392,-0.652978,-0.559636,0.51032
622,484,0.620543,0.0767999,,18.7827,10.2451,9.11064,0.747734,0.478615,0.460242
623,484,0.112553,0.0832586,,18.5275,10.1476,8.96308,-0.412252,0.907135,-0.0845874
624,485,0.68717,0.192631,,18.5415,9.66512,8.26336,0.783357,-0.121542,-0.609573
625,485,0.515431,0.130597,,18.2167,9.49344,8.33952,-0.215939,-0.8282,-0.517161
626,500,0.21502,0.0731336,,17.5856,12.05,8.55372,0.258577,0.474842,0.841227
627,500,0.173069,0.062342,,17.4928,11.9526,8.4966,-0.751152,-0.536198,0.385048
628,501,0.398949,0.0930247,,18.2909,12.4398,8.49184,0.697834,-0.0233118,0.71588
629,501,0.48874,0.083768,,18.1981,12.644,8.48232,0.189876,0.816385,0.545401
630,501,0.53753,0.0973764,,18.3744,12.5837,8.29192,0.828605,0.517925,-0.212527
631,502,0.178853,0.0476938,,17.697,12.4909,8.19196,-0.518864,0.622863,0.585511
632,502,0.151786,0.066785,,17.762,12.4816,8.08248,0.244422,0.611388,-0.752637
633,503,0.738876,0.107951,,18.3976,11.3541,7.00198,0.163221,-0.816375,-0.553977
634,503,0.258254,0.111116,,18.3048,11.716,7.09718,-0.251685,0.466985,-0.847691
635,504,0.372985,0.129607,,18.7224,11.6789,7.378,0.57214,-0.0745327,0.816762
636,504,0.459757,0.184921,,18.792,11.7299,7.0829,0.766926,0.161391,-0.621109
637,505,0.0281288,0.0936316,,17.7063,11.3819,7.73024,0.657667,-0.330596,0.67689
638,505,0.23316,0.0746498,,17.7202,11.2938,7.65408,0.199005,-0.796017,-0.571624
639,506,0.0884761,0.111398,,17.4046,11.6603,7.32088,-0.524436,0.734657,-0.430401
640,506,0.250522,0.105015,,17.4417,11.5536,7.23997,0.11137,-0.592365,-0.797935
641,511,0.392889,0.0838516,,16.6855,13.8319,8.56324,-0.189114,0.732269,0.65423
642,511,0.143261,0.0683531,,16.7365,13.6323,8.47756,0.194048,-0.777598,0.598069
643,512,0.729599,0.0804305,,17.2747,13.9014,8.16816,0.979441,0.127193,0.156579
644,512,0.262273,0.105443,,16.936,13.9664,8.0444,0.141833,0.849496,-0.508173
645,514,0.495283,0.06822,,16.0637,13.9849,8.12532,-0.74947,0.524751,0.403648
646,514,0.198077,0.102595,,16.24,13.9478,7.99204,-0.0939054,0.937013,-0.336435
