id,depo,distance,centroidX,centroidY,centroidZ
m01,0.966451,8.227396804,21.4583,9.6329,9.90612
m01,0.928451,13.59330789,20.3059,14.4887,5.48646
m01,0.901655,16.69576513,15.6702,14.6118,2.52232
m01,1.34444,7.247852668,19.5073,14.9844,12.1118
m01,1.85181,4.881623527,19.3855,10.7642,13.6478
m01,1.1715,12.0019829,15.9408,12.9921,6.97086
m01,1.14868,9.374541105,21.7095,10.264,8.85594
m01,1.10483,10.78932384,17.1412,12.598,8.08071
m01,0.99464,13.441558,18.6177,15.9009,6.00562
m01,1.15215,11.67526359,21.4304,12.0751,6.89541
m01,1.71118,6.526516862,19.4087,13.0095,12.4375
m01,1.17876,8.248878137,21.6358,10.6403,10.0893
m01,0.827554,15.95466455,18.4908,15.4906,3.35408
m01,1.42967,6.747109764,21.3176,10.684,11.6469
m01,0.728338,9.983226359,22.2373,9.58634,8.06992
m01,1.21081,6.943266838,21.5571,9.84423,11.26
m01,0.594629,17.99645542,17.6286,15.1769,1.23389
m01,0.528579,17.51370903,15.2595,14.4136,1.66027
m01,0.3665,18.19616946,16.3038,15.0093,1.04659
m01,0.739804,17.28189442,16.4685,15.1416,2.00298
m01,1.13614,12.3550232,18.4352,16.1531,7.17712
m01,1.53583,5.766355324,21.2859,10.6234,12.6384
m01,1.38385,12.549282,15.5273,12.6884,6.36349
m01,1.7605,4.787122319,20.8704,10.2381,13.5751
m01,0.981941,13.90228674,19.7517,13.3137,4.94488
m01,0.879351,17.05291011,17.4801,15.1803,2.20542
m01,0.77244,11.69054058,22.4475,10.6295,6.53525
m01,0.900446,15.6271878,18.3316,14.3068,3.44597
m01,0.794316,15.24479527,19.764,14.8284,3.8904
m01,0.882958,14.86808538,19.1152,13.8413,4.09337
m01,1.43526,7.544081757,17.7678,12.8255,11.4228
m01,1.82614,3.72183987,20.4376,10.5115,14.7392
m01,0.901021,15.27834695,16.403,13.577,3.72509
m01,0.948035,15.57152793,17.2466,14.154,3.5135
m01,1.60327,9.050769965,20.0183,13.3284,9.89908
